nik_id,jenis_usaha,lama_bln,omzet,pengeluaran,aset,hutang,freq_trx,total_skor,limit_pinjaman,laba_bersih,margin_laba,status_approval,risk_tier,dar_ratio,avg_trx_value,kategori_umur,oer_ratio
3578223005401501,Bisnis Kuliner,97.0,39913810.0,26799102,42456926,25014643,289,625,13400000.0,13114708.0,32.85756984863134,Disetujui,Bronze (Fair),0.5891769696185729,138110.06920415224,Matang (>5 Tahun),0.6714243015136866
3578748913461122,Jasa & Freelancer,7.0,6999315.0,3958719,67454433,27270764,23,507,5500000.0,3040596.0,43.44133675938288,Disetujui,Bronze (Fair),0.40428423733099944,304318.04347826086,Baru (0-1 Tahun),0.5655866324061711
3578317158893990,Produk Digital,56.0,32587039.0,26540394,79676249,51593906,13,356,0.0,6046645.0,18.55536797927544,Ditolak,High Risk (Reject),0.6475443641931486,2506695.3076923075,Stabil (3-5 Tahun),0.8144463202072456
3578988022315787,Produk Kreatif,92.0,59722344.0,44085563,46736211,8050360,182,689,21500000.0,15636781.0,26.182463635385776,Disetujui,Silver (Good),0.17225101966438827,328144.74725274724,Matang (>5 Tahun),0.7381753636461422
3578199223237613,Jasa & Freelancer,15.0,51181396.0,55953859,167061472,35352996,32,308,0.0,-4772463.0,-9.324604979512477,Ditolak,High Risk (Reject),0.21161669160918203,1599418.625,Berkembang (1-3 Tahun),1.0932460497951249
3578605645347792,Produk Digital,18.0,53806024.0,29870960,83699444,55536567,195,505,5300000.0,23935064.0,44.4839856593009,Disetujui,Bronze (Fair),0.6635237266331184,275928.3282051282,Berkembang (1-3 Tahun),0.555160143406991
3578312933106111,Bisnis Kuliner,8.0,91753260.0,60513917,82681988,65168059,129,363,0.0,31239343.0,34.047120505582036,Ditolak,High Risk (Reject),0.7881772146068863,711265.5813953489,Baru (0-1 Tahun),0.6595287949441796
3578211095701426,Jasa & Freelancer,38.0,63855700.0,60342303,102933892,13394095,191,515,6000000.0,3513397.0,5.502088302218909,Disetujui,Bronze (Fair),0.13012327368326848,334323.0366492147,Stabil (3-5 Tahun),0.9449791169778109
3578835339233454,Toko & E-commerce,92.0,94744214.0,90350429,168512359,85601351,283,493,0.0,4393785.0,4.637523300367451,Ditolak,High Risk (Reject),0.50798262814658,334785.20848056534,Matang (>5 Tahun),0.9536247669963255
3578369419548116,Produk Kreatif,62.0,53929647.0,37155557,176798626,97332871,122,511,5700000.0,16774090.0,31.10365250490143,Disetujui,Bronze (Fair),0.550529566898331,442046.2868852459,Matang (>5 Tahun),0.6889634749509856
3578459422681391,Bisnis Kuliner,32.0,51386756.0,7772740,112686853,24136701,118,383,0.0,43614016.0,84.8740403071951,Ditolak,High Risk (Reject),0.21419269735041763,435480.9830508475,Berkembang (1-3 Tahun),0.15125959692804894
3578446680801999,Produk Kreatif,86.0,51386756.0,54390380,177564235,65180543,145,574,10000000.0,-3003624.0,-5.845132547382442,Disetujui,Bronze (Fair),0.36708148462442336,354391.4206896552,Matang (>5 Tahun),1.0584513254738244
3578371182647325,Produk Digital,71.0,51386756.0,39141210,120006828,86195901,214,321,0.0,12245546.0,23.83015966215108,Ditolak,High Risk (Reject),0.7182583061023827,240125.0280373832,Matang (>5 Tahun),0.7616984033784892
3578342072931479,Produk Kreatif,68.0,51386756.0,39025394,17647705,12157192,88,524,6600000.0,12361362.0,24.05554069223595,Disetujui,Bronze (Fair),0.688882322092306,583940.4090909091,Matang (>5 Tahun),0.7594445930776405
3578274493552068,Jasa & Freelancer,79.0,51386756.0,8867798,164957580,131454218,280,468,0.0,42518958.0,82.74302818414924,Ditolak,High Risk (Reject),0.7968971053042849,183524.12857142856,Matang (>5 Tahun),0.1725697181585076
3578112637644335,Bisnis Kuliner,90.0,51386756.0,76993838,177056873,48184324,160,487,0.0,-25607082.0,-49.83206567855733,Ditolak,High Risk (Reject),0.27214037604741836,321167.225,Matang (>5 Tahun),1.4983206567855734
3578273665994394,Jasa & Freelancer,3.0,99917555.0,111217937,75702958,58859843,101,105,0.0,-11300382.0,-11.309706287348604,Ditolak,High Risk (Reject),0.7775104771995831,989282.7227722772,Baru (0-1 Tahun),1.113097062873486
3578429103158382,Produk Digital,80.0,29697396.0,18025948,48365489,20869864,281,688,21400000.0,11671448.0,39.301250520416,Disetujui,Silver (Good),0.4315032150300393,105684.68327402136,Matang (>5 Tahun),0.60698749479584
3578103944899549,Produk Digital,44.0,68579548.0,35224768,102436907,72010841,167,541,7800000.0,33354780.0,48.63662851787824,Disetujui,Bronze (Fair),0.7029775020442584,410655.9760479042,Stabil (3-5 Tahun),0.5136337148212176
3578161157982007,Produk Kreatif,115.0,79149359.0,92039989,27992422,16390293,45,293,0.0,-12890630.0,-16.2864616503085,Ditolak,High Risk (Reject),0.5855260755928873,1758874.6444444444,Matang (>5 Tahun),1.162864616503085
3578937424066816,Produk Digital,101.0,19879290.0,11726277,132582641,100428559,94,537,7500000.0,8153013.0,41.0125965263347,Disetujui,Bronze (Fair),0.7574789447737732,211481.8085106383,Matang (>5 Tahun),0.5898740347366531
3578680958994499,Produk Digital,57.0,31427073.0,36148659,190184933,30604721,169,414,0.0,-4721586.0,-15.023944482516713,Ditolak,High Risk (Reject),0.16092084960273903,185959.01183431954,Stabil (3-5 Tahun),1.1502394448251672
3578815849444665,Toko & E-commerce,59.0,72467853.0,59136688,71546657,12861075,183,595,11400000.0,13331165.0,18.395970693377656,Disetujui,Bronze (Fair),0.179757874641159,395999.1967213115,Stabil (3-5 Tahun),0.8160402930662235
3578744335435865,Produk Digital,32.0,81979095.0,53626803,24057061,13622858,40,446,0.0,28352292.0,34.58478286446075,Ditolak,High Risk (Reject),0.5662727462843445,2049477.375,Berkembang (1-3 Tahun),0.6541521713553925
3578173997741524,Bisnis Kuliner,113.0,47349361.0,26023216,68888882,15347190,258,834,53600000.0,21326145.0,45.03998480570836,Disetujui,Gold (Excellent),0.2227818126007619,183524.6550387597,Matang (>5 Tahun),0.5496001519429164
3578693625626938,Produk Kreatif,63.0,79644106.0,71946356,70229074,44082476,218,456,0.0,7697750.0,9.665184765838166,Ditolak,High Risk (Reject),0.6276955324798957,365339.93577981653,Matang (>5 Tahun),0.9033481523416184
3578203897019487,Bisnis Kuliner,63.0,60854710.0,45519828,115354427,43098690,37,546,8100000.0,15334882.0,25.19917028607975,Disetujui,Bronze (Fair),0.37361973112657393,1644721.8918918918,Matang (>5 Tahun),0.7480082971392026
3578820151617123,Bisnis Kuliner,63.0,57038913.0,57595015,34331682,6829432,107,380,0.0,-556102.0,-0.974951959550842,Ditolak,High Risk (Reject),0.19892506286176134,533073.953271028,Matang (>5 Tahun),1.0097495195955084
3578591929601508,Produk Kreatif,63.0,27627347.0,19200498,72056907,50410202,48,417,0.0,8426849.0,30.501839355041945,Ditolak,High Risk (Reject),0.6995887569806458,575569.7291666666,Matang (>5 Tahun),0.6949816064495805
3578986666495028,Produk Digital,63.0,9789850.0,9364005,150112968,100398866,57,228,0.0,425845.0,4.349862357441636,Ditolak,High Risk (Reject),0.6688220700559329,171751.75438596492,Matang (>5 Tahun),0.9565013764255836
3578928612436713,Produk Kreatif,63.0,57547971.0,48337348,62377352,43147682,40,289,0.0,9210623.0,16.005122057213796,Ditolak,High Risk (Reject),0.691720321824498,1438699.275,Matang (>5 Tahun),0.8399487794278621
3578517318938760,Bisnis Kuliner,52.0,38594951.0,44328719,127140379,29013356,294,433,0.0,-5733768.0,-14.856264489103769,Ditolak,High Risk (Reject),0.22819938266819229,131275.34353741497,Stabil (3-5 Tahun),1.1485626448910378
3578888821730785,Jasa & Freelancer,22.0,28487660.0,20160588,20698989,9590757,287,537,7500000.0,8327072.0,29.230452764460118,Disetujui,Bronze (Fair),0.463344224203414,99260.1393728223,Berkembang (1-3 Tahun),0.7076954723553988
3578920600564299,Toko & E-commerce,10.0,9729990.0,8843825,139982870,102958759,281,311,0.0,886165.0,9.107563317125711,Ditolak,High Risk (Reject),0.7355097020085386,34626.29893238434,Baru (0-1 Tahun),0.9089243668287429
3578160805710565,Produk Digital,13.0,27941004.0,15310690,23243105,12555229,130,519,6300000.0,12630314.0,45.20350807723302,Disetujui,Bronze (Fair),0.5401700418253069,214930.8,Berkembang (1-3 Tahun),0.5479649192276699
3578230583221679,Produk Digital,34.0,80701200.0,73935486,171263958,11232642,299,591,11100000.0,6765714.0,8.383659722532007,Disetujui,Bronze (Fair),0.0655867243240986,269903.6789297659,Berkembang (1-3 Tahun),0.9161634027746799
3578445842718357,Toko & E-commerce,29.0,92889098.0,93013036,69071773,14677172,77,396,0.0,-123938.0,-0.1334257761874273,Ditolak,High Risk (Reject),0.21249160637587802,1206351.9220779222,Berkembang (1-3 Tahun),1.0013342577618742
