nik_id,jenis_usaha,lama_bln,omzet,pengeluaran,aset,hutang,freq_trx,total_skor,limit_pinjaman
3578223005401501,Bisnis Kuliner,97,39913810,26799102,42456926,25014643,289,640,14200000.0
3578748913461122,Jasa & Freelancer,7,6999315,3958719,67454433,27270764,23,392,0.0
3578317158893990,Produk Digital,56,32587039,26540394,79676249,51593906,13,364,0.0
3578988022315787,Produk Kreatif,92,59722344,44085563,46736211,8050360,182,748,31400000.0
3578199223237613,Jasa & Freelancer,15,51181396,55953859,167061472,35352996,32,265,0.0
3578605645347792,Produk Digital,18,53806024,29870960,83699444,55536567,195,501,1100000.0
3578312933106111,Bisnis Kuliner,8,91753260,60513917,82681988,65168059,129,456,0.0
3578211095701426,Jasa & Freelancer,38,63855700,60342303,102933892,13394095,191,529,3700000.0
3578835339233454,Toko & E-commerce,92,94744214,90350429,168512359,85601351,283,408,0.0
3578369419548116,Produk Kreatif,62,53929647,37155557,176798626,97332871,122,571,7700000.0
3578459422681391,Bisnis Kuliner,32,7308421,7772740,112686853,24136701,118,401,0.0
3578446680801999,Produk Kreatif,86,70005685,54390380,177564235,65180543,145,591,9600000.0
3578371182647325,Produk Digital,71,38264581,39141210,120006828,86195901,214,360,0.0
3578342072931479,Produk Kreatif,68,69238574,39025394,17647705,12157192,88,546,5300000.0
3578274493552068,Jasa & Freelancer,79,11526544,8867798,164957580,131454218,280,552,5900000.0
3578112637644335,Bisnis Kuliner,90,75070937,76993838,177056873,48184324,160,473,0.0
3578273665994394,Jasa & Freelancer,3,99917555,111217937,75702958,58859843,101,143,0.0
3578429103158382,Produk Digital,80,29697396,18025948,48365489,20869864,281,644,14500000.0
3578103944899549,Produk Digital,44,68579548,35224768,102436907,72010841,167,545,5200000.0
3578161157982007,Produk Kreatif,115,79149359,92039989,27992422,16390293,45,263,0.0
3578937424066816,Produk Digital,101,19879290,11726277,132582641,100428559,94,530,3800000.0
3578680958994499,Produk Digital,57,31427073,36148659,190184933,30604721,169,498,0.0
3578815849444665,Toko & E-commerce,59,72467853,59136688,71546657,12861075,183,668,18000000.0
3578744335435865,Produk Digital,32,81979095,53626803,24057061,13622858,40,420,0.0
3578173997741524,Bisnis Kuliner,113,47349361,26023216,68888882,15347190,258,778,36500000.0
3578693625626938,Produk Kreatif,95,79644106,71946356,70229074,44082476,218,460,0.0
3578203897019487,Bisnis Kuliner,87,60854710,45519828,115354427,43098690,37,540,4800000.0
3578820151617123,Bisnis Kuliner,10,57038913,57595015,34331682,6829432,107,345,0.0
3578591929601508,Produk Kreatif,57,27627347,19200498,72056907,50410202,48,508,1800000.0
3578986666495028,Produk Digital,15,9789850,9364005,150112968,100398866,57,176,0.0
3578928612436713,Produk Kreatif,24,57547971,48337348,62377352,43147682,40,303,0.0
3578517318938760,Bisnis Kuliner,52,38594951,44328719,127140379,29013356,294,505,0.0
3578888821730785,Jasa & Freelancer,22,28487660,20160588,20698989,9590757,287,526,3400000.0
3578920600564299,Toko & E-commerce,10,9729990,8843825,139982870,102958759,281,320,0.0
3578160805710565,Produk Digital,13,27941004,15310690,23243105,12555229,130,440,0.0
3578230583221679,Produk Digital,34,80701200,73935486,171263958,11232642,299,582,8700000.0
3578445842718357,Toko & E-commerce,29,92889098,93013036,69071773,14677172,77,344,0.0
3578811554491388,Toko & E-commerce,61,45436584,52266286,24473144,182383,298,616,0.0
3578211652384077,Bisnis Kuliner,71,31609087,26997931,40556038,30279442,45,395,0.0
3578370064409283,Toko & E-commerce,39,24172421,19500598,150818960,84885728,280,478,0.0
3578830178040304,Produk Digital,41,92038526,52693027,41048496,8684743,64,604,10800000.0
3578708779044123,Produk Kreatif,37,40816686,37689347,197632554,54211446,145,457,0.0
3578639041627377,Toko & E-commerce,118,9818112,5543394,118702755,78756722,32,494,0.0
3578465087448782,Produk Kreatif,84,38159040,23395589,123604316,54552065,228,659,16500000.0
3578110999011248,Bisnis Kuliner,12,95747083,108457508,151455779,4365336,199,504,0.0
3578708092248272,Produk Kreatif,58,20105448,10641416,102885394,73993652,30,497,0.0
3578494702875840,Produk Kreatif,90,36491314,35281751,99939884,62371781,218,407,0.0
3578782787430916,Produk Kreatif,33,24810617,29359500,52527133,37038613,22,179,0.0
3578908224199827,Toko & E-commerce,103,58259205,61845909,71616886,15286235,65,412,0.0
3578342539766821,Produk Kreatif,107,64780854,48246247,66094699,11787252,108,684,20700000.0
3578462488651216,Toko & E-commerce,113,12317495,14495504,79927045,22452858,270,479,0.0
3578844745947806,Produk Digital,45,6704481,3893555,75119420,10731129,145,709,24900000.0
3578216128430402,Produk Digital,58,49397338,49890400,89202113,31141805,271,430,0.0
3578521403489881,Produk Digital,27,37188276,19749599,122053299,165141,285,776,36100000.0
3578893224011429,Produk Kreatif,49,60887757,33426262,183304945,135025481,170,580,8500000.0
3578890809244118,Toko & E-commerce,67,44511484,43034817,92559056,29796640,161,457,0.0
3578239820136955,Produk Kreatif,56,92245317,106843560,186816150,111810895,99,294,0.0
3578725413874351,Toko & E-commerce,54,76542887,82942455,86570811,19870683,230,490,0.0
3578739029968283,Produk Digital,86,46251559,38180280,123691366,66855404,271,505,1500000.0
